time	Light
10:32	2
10:32	0
10:33	2
10:33	1
10:33	2
10:33	3
10:33	2
10:34	6
10:34	2
10:34	0
10:34	1
10:34	2
10:35	2
10:35	0
10:35	2
10:35	2
10:35	2
10:36	1
10:36	4
10:36	2
10:36	1
10:36	2
10:37	2
10:37	1
10:37	1
10:37	1
10:37	0
10:38	3
10:38	9
10:38	1
10:38	11
10:38	3
10:39	2
10:39	1
10:39	3
10:39	2
10:39	0
10:40	3
10:40	2
10:40	2
10:40	2
10:40	1
10:41	1
10:41	0
10:41	1
10:41	3
10:41	2
10:41	2
10:42	2
10:42	3
10:42	3
10:42	2
10:42	2
10:43	3
10:43	3
10:43	3
10:43	4
10:43	3
10:44	3
10:44	2
10:44	0
10:44	3
10:44	3
10:45	0
10:45	3
10:45	3
10:45	2
10:46	2
10:46	3
10:46	3
10:46	2
10:46	2
10:47	3
10:47	3
10:47	3
10:47	1
10:47	2
10:48	6
10:48	3
10:48	3
10:48	3
10:48	3
10:49	3
10:49	2
10:49	3
10:49	3
10:49	3
10:49	3
10:50	3
10:50	3
10:50	2
10:50	1
10:50	3
10:51	0
10:51	4
10:51	3
10:51	4
10:51	3
10:52	0
10:52	3
10:52	3
10:52	3
10:52	2
10:53	0
10:53	2
10:53	2
10:53	3
10:53	3
10:54	3
10:54	3
10:54	3
10:54	3
10:54	2
10:55	3
10:55	3
10:55	2
10:55	3
10:55	3
10:56	3
10:56	3
10:56	3
10:56	3
10:56	3
10:57	2
10:57	2
10:57	3
10:57	2
10:57	2
10:57	2
10:58	3
10:58	3
10:58	3
10:58	2
10:58	4
10:59	1
10:59	3
10:59	2
10:59	2
10:59	2
11:00	3
11:00	3
11:00	4
11:00	4
11:00	5
11:01	3
11:01	3
11:01	2
11:01	3
11:01	1
11:02	1
11:02	3
11:02	4
11:02	2
11:02	4
11:03	0
11:03	2
11:03	3
11:03	1
11:03	6
11:04	1
11:04	5
11:04	2
11:04	2
11:04	5
11:05	2
11:05	1
11:05	2
11:05	0
11:05	2
11:06	1
11:06	2
11:06	3
11:06	12
11:06	2
11:06	11
11:07	1
11:07	2
11:07	5
11:07	3
11:07	4
11:08	2
11:08	2
11:08	0
11:08	2
11:08	2
11:09	2
11:09	5
11:09	2
11:09	0
11:09	5
11:10	2
11:10	2
11:10	3
11:10	2
11:10	2
11:11	3
11:11	4
11:11	4
11:11	2
11:11	2
11:12	7
11:12	2
11:12	6
11:12	3
11:12	2
11:13	2
11:13	3
11:13	2
11:13	2
11:14	1
11:14	3
11:14	2
11:14	2
11:14	6
